county,total_votes,rep_votes,dem_votes,rep_percentage,dem_percentage,Party
"Benewah County, Idaho",4973,3878,977,0.779810979288156,0.1964608887995174,0
"Bennett County, South Dakota",1183,694,466,0.5866441251056635,0.39391377852916315,0
"Bennington, New Hampshire",837,424,395,0.5065710872162486,0.47192353643966545,0
"Bennington, Vermont",7096,2473,4369,0.34850620067643745,0.6156989853438557,1
"Benson County, North Dakota",1961,1094,822,0.5578786333503315,0.4191738908720041,0
"Benson, Vermont",583,305,258,0.5231560891938251,0.4425385934819897,0
"Bent County, Colorado",2274,1503,732,0.6609498680738787,0.32189973614775724,0
"Benton County, Arkansas",119912,73965,42249,0.6168273400493696,0.3523333778103943,0
"Benton County, Indiana",4114,3007,1009,0.7309188138065144,0.2452600875060768,0
"Benton County, Iowa",14642,9188,5160,0.6275099030187133,0.3524108728315804,0
"Benton County, Minnesota",22260,14382,7280,0.6460916442048518,0.3270440251572327,0
"Benton County, Mississippi",4292,2570,1679,0.5987884436160298,0.39119291705498604,0
"Benton County, Missouri",10476,8109,2180,0.7740549828178694,0.2080946926307751,0
"Benton County, Oregon",52799,14878,35827,0.2817856398795432,0.6785545180779939,1
"Benton County, Tennessee",7260,5668,1529,0.7807162534435261,0.2106060606060606,0
"Benton County, Washington",103033,60365,38706,0.5858802519581106,0.3756660487416653,0
"Benton, Maine",1632,984,607,0.6029411764705882,0.37193627450980393,0
"Benton, New Hampshire",235,143,89,0.6085106382978723,0.37872340425531914,0
"Benzie County, Michigan",12262,6601,5480,0.538329799380199,0.44690915022019245,0
"Bergen County, New Jersey",497460,204417,285967,0.4109214811241105,0.574854259638966,1
"Berkeley County, South Carolina",104458,57397,45223,0.5494744299144153,0.4329299814279423,0
"Berkeley County, West Virginia",51535,33279,17186,0.6457553119239352,0.3334820995439992,0
"Berkley, Massachusetts",4113,2251,1764,0.5472890833941162,0.4288840262582057,0
"Berks County, Pennsylvania",205540,109736,92895,0.5338912133891214,0.4519558236839545,0
"Berkshire, Vermont",711,402,284,0.5654008438818565,0.39943741209563993,0
"Berlin, Connecticut",12873,6687,6008,0.5194593334886973,0.4667132758486755,0
"Berlin, Massachusetts",2265,816,1375,0.36026490066225164,0.6070640176600441,1
"Berlin, New Hampshire",4065,1852,2147,0.45559655596555965,0.5281672816728167,1
"Berlin, Vermont",1534,520,960,0.3389830508474576,0.6258148631029987,1
"Bernalillo County, New Mexico",317590,116135,193757,0.3656758714065304,0.6100853301426368,1
"Bernardston, Massachusetts",1375,423,916,0.30763636363636365,0.6661818181818182,1
"Berrien County, Georgia",7743,6419,1269,0.8290068448921607,0.16388996512979465,0
"Berrien County, Michigan",82391,43519,37438,0.5282008957289024,0.45439429063854064,0
"Bertie County, North Carolina",9815,3817,5939,0.3888945491594498,0.6050942435048395,1
"Berwick, Maine",4371,2229,1999,0.5099519560741249,0.45733241821093573,0
"Bethany, Connecticut",3698,1718,1912,0.4645754461871282,0.5170362358031368,1
"Bethel, Connecticut",11172,4734,6270,0.4237379162191192,0.5612244897959183,1
"Bethel, Maine",1830,749,1006,0.4092896174863388,0.5497267759562842,1
"Bethel, Vermont",1147,381,728,0.33217088055797733,0.6346992153443767,1
"Bethlehem, Connecticut",2367,1393,937,0.5885086607520068,0.39585973806506125,0
"Bethlehem, New Hampshire",1671,620,1021,0.3710353081986834,0.6110113704368642,1
"Beverly, Massachusetts",24450,7205,16703,0.29468302658486706,0.6831492842535787,1
"Bexar County, Texas",768952,308618,448452,0.4013488488228134,0.5831989512999511,1
"Bibb County, Alabama",9595,7525,1986,0.7842626367899947,0.20698280354351226,0
"Bibb County, Georgia",70714,26559,43408,0.3755833356902452,0.613852985264587,1
"Biddeford, Maine",11066,3705,7022,0.33480932586300377,0.6345562985722032,1
"Bienville Parish, Louisiana",7050,3891,3067,0.5519148936170213,0.4350354609929078,0
"Big Horn County, Montana",4784,2207,2491,0.4613294314381271,0.5206939799331104,1
"Big Horn County, Wyoming",5752,4806,788,0.8355354659248957,0.13699582753824757,0
"Big Stone County, Minnesota",2974,1863,1053,0.6264290517821116,0.35406859448554134,0
"Billerica, Massachusetts",24644,10731,13328,0.43544067521506247,0.5408212952442786,1
"Billings County, North Dakota",635,541,72,0.8519685039370078,0.11338582677165354,0
"Bingham County, Idaho",20094,15295,4124,0.7611724893002887,0.20523539364984572,0
"Bingham, Maine",580,349,215,0.6017241379310345,0.3706896551724138,0
"Black Hawk County, Iowa",66593,29640,35647,0.4450918264682474,0.5352965026354122,1
"Blackford County, Indiana",5350,3841,1376,0.7179439252336448,0.25719626168224297,0
"Blackstone, Massachusetts",5135,2560,2450,0.498539435248296,0.4771178188899708,0
"Bladen County, North Carolina",17125,9676,7326,0.5650218978102189,0.4277956204379562,0
"Blaine County, Idaho",13289,4032,8919,0.30340883437429456,0.6711565956806381,1
"Blaine County, Montana",3117,1469,1589,0.4712864934231633,0.5097850497273019,1
"Blaine County, Nebraska",317,280,35,0.8832807570977917,0.11041009463722397,0
"Blaine County, Oklahoma",3901,3136,688,0.803896436811074,0.17636503460651115,0
"Blaine, Maine",400,298,97,0.745,0.2425,0
"Blair County, Pennsylvania",63595,45306,17636,0.7124144979951254,0.27731739916660114,0
"Blanco County, Texas",7441,5443,1911,0.7314877032656901,0.2568203198494826,0
"Bland County, Virginia",3479,2903,532,0.8344351825237137,0.1529175050301811,0
"Blandford, Massachusetts",775,454,307,0.5858064516129032,0.3961290322580645,0
"Bleckley County, Georgia",5708,4329,1312,0.7584092501751927,0.22985283812193413,0
"Bledsoe County, Tennessee",5758,4725,971,0.8205974296630775,0.1686349426884335,0
"Bloomfield, Connecticut",12821,1698,11007,0.13243896731924187,0.8585133764916933,1
"Bloomfield, Vermont",130,73,55,0.5615384615384615,0.4230769230769231,0
"Blount County, Alabama",27588,24711,2640,0.8957155284906481,0.09569377990430622,0
"Blount County, Tennessee",66609,47369,17932,0.7111501448753171,0.269212869131799,0
"Blue Earth County, Minnesota",36051,16731,18330,0.46409253557460267,0.5084463676458351,1
